WKT,csquare_area,surface_sar,subsurface_sar,ecoregion,stat_rec,c_square,lat,lon
"POLYGON ((-4.3 47.75,-4.3 47.8,-4.25 47.8,-4.25 47.75,-4.3 47.75))",20.773124901659,135.371359545295,39.5565732180739,Bay of Biscay and the Iberian Coast,"24E5",7400:374:372:4,47.775,-4.275
"POLYGON ((-4 46.85,-4 46.9,-3.95 46.9,-3.95 46.85,-4 46.85))",21.1300945968488,556.762045846943,44.967488493993,Bay of Biscay and the Iberian Coast,"22E6",7400:363:489:4,46.875,-3.975
"POLYGON ((-6.4 47.7,-6.4 47.75,-6.35 47.75,-6.35 47.7,-6.4 47.7))",20.7930918342857,206.845075825237,16.1339159143685,Bay of Biscay and the Iberian Coast,"24E3",7400:476:373:2,47.725,-6.375
"POLYGON ((-7.15 47.65,-7.15 47.7,-7.1 47.7,-7.1 47.65,-7.15 47.65))",20.8130429320685,768.765741895717,60.0088655842981,Bay of Biscay and the Iberian Coast,"24E2",7400:477:361:3,47.675,-7.125
"POLYGON ((-9.45 43.35,-9.45 43.4,-9.4 43.4,-9.4 43.35,-9.45 43.35))",22.4679604970446,74.7479664988136,4.56434611694881,Bay of Biscay and the Iberian Coast,"15E0",7400:239:134:3,43.375,-9.425
"POLYGON ((-7.5 47.85,-7.5 47.9,-7.45 47.9,-7.45 47.85,-7.5 47.85))",20.7331435927084,443.972820932769,34.629880032756,Bay of Biscay and the Iberian Coast,"24E2",7400:477:384:4,47.875,-7.475
"POLYGON ((-4.85 46.9,-4.85 46.95,-4.8 46.95,-4.8 46.9,-4.85 46.9))",21.1103989146674,179.645100696551,14.012317854331,Bay of Biscay and the Iberian Coast,"22E5",7400:364:498:1,46.925,-4.825
"POLYGON ((-2.4 45.15,-2.4 45.2,-2.35 45.2,-2.35 45.15,-2.4 45.15))",21.7900759136113,778.715111416381,88.2645652652825,Bay of Biscay and the Iberian Coast,"19E7",7400:352:113:4,45.175,-2.375
"POLYGON ((-2.05 44.3,-2.05 44.35,-2 44.35,-2 44.3,-2.05 44.3))",22.11290921777,371.878770138083,25.6781072505089,Bay of Biscay and the Iberian Coast,"17E7",7400:142:130:1,44.325,-2.025
"POLYGON ((-2.7 47.3,-2.7 47.35,-2.65 47.35,-2.65 47.3,-2.7 47.3))",20.9522559661749,167.880267857585,13.1231451746324,Bay of Biscay and the Iberian Coast,"23E7",7400:372:236:2,47.325,-2.675
"POLYGON ((-3.05 45.75,-3.05 45.8,-3 45.8,-3 45.75,-3.05 45.75))",21.5593020260853,395.581518239256,31.4384247834663,Bay of Biscay and the Iberian Coast,"20E6",7400:353:370:3,45.775,-3.025
"POLYGON ((-3.75 46.3,-3.75 46.35,-3.7 46.35,-3.7 46.3,-3.75 46.3))",21.345681771724,373.870870992048,29.3685550862508,Bay of Biscay and the Iberian Coast,"21E6",7400:363:237:1,46.325,-3.725
"POLYGON ((-4.45 46.75,-4.45 46.8,-4.4 46.8,-4.4 46.75,-4.45 46.75))",21.169437671766,281.126670643148,21.7924021602079,Bay of Biscay and the Iberian Coast,"22E5",7400:364:374:3,46.775,-4.425
"POLYGON ((-3.4 45.7,-3.4 45.75,-3.35 45.75,-3.35 45.7,-3.4 45.7))",21.5786238342303,55.3683829600887,4.31873387088692,Bay of Biscay and the Iberian Coast,"20E6",7400:353:373:2,45.725,-3.375
"POLYGON ((-6.55 47.95,-6.55 48.0,-6.5 48.0,-6.5 47.95,-6.55 47.95))",20.6930991270069,71.7615176044221,6.17478405629535,Bay of Biscay and the Iberian Coast,"24E3",7400:476:495:3,47.975,-6.525
"POLYGON ((-1.4 45.8,-1.4 45.85,-1.35 45.85,-1.35 45.8,-1.4 45.8))",21.5399637995939,255.580840409887,34.9990989550735,Bay of Biscay and the Iberian Coast,"20E8",7400:351:383:2,45.825,-1.375
"POLYGON ((-1.35 45.75,-1.35 45.8,-1.3 45.8,-1.3 45.75,-1.35 45.75))",21.5593020260853,290.051336470294,35.1085661678444,Bay of Biscay and the Iberian Coast,"20E8",7400:351:373:3,45.775,-1.325
"POLYGON ((-2.8 47.3,-2.8 47.35,-2.75 47.35,-2.75 47.3,-2.8 47.3))",20.9522559661749,187.546787269925,13.4323852967548,Bay of Biscay and the Iberian Coast,"23E7",7400:372:237:2,47.325,-2.775
"POLYGON ((-2 44.75,-2 44.8,-1.95 44.8,-1.95 44.75,-2 44.75))",21.9425992081578,1038.42954386373,185.211658392062,Bay of Biscay and the Iberian Coast,"18E8",7400:141:479:4,44.775,-1.975
"POLYGON ((-3.2 45.5,-3.2 45.55,-3.15 45.55,-3.15 45.5,-3.2 45.5))",21.6557465892468,182.148465274835,14.2075802914372,Bay of Biscay and the Iberian Coast,"20E6",7400:353:351:2,45.525,-3.175
"POLYGON ((-4.45 46.5,-4.45 46.55,-4.4 46.55,-4.4 46.5,-4.45 46.5))",21.2675129720992,240.960541800712,18.5956732184477,Bay of Biscay and the Iberian Coast,"22E5",7400:364:354:1,46.525,-4.425
"POLYGON ((-6.35 47.95,-6.35 48.0,-6.3 48.0,-6.3 47.95,-6.35 47.95))",20.6930991270069,86.8271856682653,6.93169835664307,Bay of Biscay and the Iberian Coast,"24E3",7400:476:393:3,47.975,-6.325
"POLYGON ((-5.25 46.95,-5.25 47.0,-5.2 47.0,-5.2 46.95,-5.25 46.95))",21.0906871559989,534.303407449583,40.7165167252922,Bay of Biscay and the Iberian Coast,"22E4",7400:465:392:3,46.975,-5.225
"POLYGON ((-5.05 46.85,-5.05 46.9,-5 46.9,-5 46.85,-5.05 46.85))",21.1300945968488,795.745075379942,61.5942107584234,Bay of Biscay and the Iberian Coast,"22E4",7400:465:380:3,46.875,-5.025
"POLYGON ((-5.35 47.95,-5.35 48.0,-5.3 48.0,-5.3 47.95,-5.35 47.95))",20.6930991270069,21.2387846804809,1.72006709899852,Bay of Biscay and the Iberian Coast,"24E4",7400:475:393:3,47.975,-5.325
"POLYGON ((-7.05 47.75,-7.05 47.8,-7 47.8,-7 47.75,-7.05 47.75))",20.773124901659,7.89166149892124,0.671025812894725,Bay of Biscay and the Iberian Coast,"24E2",7400:477:370:3,47.775,-7.025
"POLYGON ((-6 47.65,-6 47.7,-5.95 47.7,-5.95 47.65,-6 47.65))",20.8130429320685,500.298565613652,39.5263316219123,Bay of Biscay and the Iberian Coast,"24E4",7400:475:469:4,47.675,-5.975
"POLYGON ((-1.9 44.55,-1.9 44.6,-1.85 44.6,-1.85 44.55,-1.9 44.55))",22.0184602737614,618.802199294672,53.51594705563,Bay of Biscay and the Iberian Coast,"18E8",7400:141:458:4,44.575,-1.875
"POLYGON ((-5.4 47.9,-5.4 47.95,-5.35 47.95,-5.35 47.9,-5.4 47.9))",20.7131292468321,57.8120924835719,4.50934321371861,Bay of Biscay and the Iberian Coast,"24E4",7400:475:393:2,47.925,-5.375
"POLYGON ((-3.35 45.75,-3.35 45.8,-3.3 45.8,-3.3 45.75,-3.35 45.75))",21.5593020260853,194.798102224296,15.1942519734951,Bay of Biscay and the Iberian Coast,"20E6",7400:353:373:3,45.775,-3.325
"POLYGON ((-4 47.65,-4 47.7,-3.95 47.7,-3.95 47.65,-4 47.65))",20.8130429320685,52.6252037828539,12.2678733581445,Bay of Biscay and the Iberian Coast,"24E6",7400:373:469:4,47.675,-3.975
"POLYGON ((-1.8 44.8,-1.8 44.85,-1.75 44.85,-1.75 44.8,-1.8 44.8))",21.9235921300082,902.520747975295,352.89628405866,Bay of Biscay and the Iberian Coast,"18E8",7400:141:487:2,44.825,-1.775
"POLYGON ((-3.85 45.9,-3.85 45.95,-3.8 45.95,-3.8 45.9,-3.85 45.9))",21.5012381504922,48.3205702337086,3.6398146505351,Bay of Biscay and the Iberian Coast,"20E6",7400:353:498:1,45.925,-3.825
"POLYGON ((-2.85 46.85,-2.85 46.9,-2.8 46.9,-2.8 46.85,-2.85 46.85))",21.1300945968488,137.714493655054,11.3843467686391,Bay of Biscay and the Iberian Coast,"22E7",7400:362:488:3,46.875,-2.825
"POLYGON ((-4 46.75,-4 46.8,-3.95 46.8,-3.95 46.75,-4 46.75))",21.169437671766,605.914066778237,47.7366737361327,Bay of Biscay and the Iberian Coast,"22E6",7400:363:479:4,46.775,-3.975
"POLYGON ((-7.6 47.6,-7.6 47.65,-7.55 47.65,-7.55 47.6,-7.6 47.6))",20.8329781798137,191.677587991822,14.9508518633621,Bay of Biscay and the Iberian Coast,"24E2",7400:477:465:2,47.625,-7.575
